DATE,COUNTY,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEW_POS_TESTS,NEG_TESTS,NEW_NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_RECOVERED,TOTAL_RECOVERED,NEW_ACTIVE,TOTAL_ACTIVE,NEW_HOSPITALIZED,TOTAL_HOSPITALIZED
2020-06-28,Anderson,94,4,90,3,4,1,107,3,7120,130,7228,134,0,2,2,64,2,28,0,9
2020-06-28,Bedford,492,10,492,10,0,0,571,11,3497,49,4068,60,0,5,11,344,-1,143,0,21
2020-06-28,Benton,12,0,10,0,2,0,11,0,1028,5,1039,5,0,1,0,8,0,3,0,2
2020-06-28,Bledsoe,616,0,616,0,0,0,628,0,3654,20,4282,20,0,1,1,612,0,4,0,5
2020-06-28,Blount,159,3,153,2,6,1,182,2,6271,144,6453,146,0,3,5,121,-2,35,0,9
2020-06-28,Bradley,468,24,450,22,18,2,518,26,5816,146,6334,172,0,3,4,314,20,151,1,30
2020-06-28,Campbell,31,0,28,0,3,0,37,1,2536,34,2573,35,0,1,0,26,0,4,0,3
2020-06-28,Cannon,26,1,26,1,0,0,44,1,917,9,962,11,0,0,0,21,0,4,0,4
2020-06-28,Carroll,38,0,34,1,5,0,36,0,1837,8,1874,9,0,1,0,31,0,6,0,6
2020-06-28,Carter,50,1,46,2,5,0,52,1,2600,86,2652,87,0,1,0,30,1,19,1,4
2020-06-28,Cheatham,194,0,194,0,0,0,234,0,2874,41,3107,40,0,0,1,99,-1,95,0,10
2020-06-28,Chester,20,1,20,1,0,0,24,0,875,8,900,9,0,0,0,13,1,7,0,1
2020-06-28,Claiborne,22,1,22,1,0,0,26,0,1542,45,1568,45,0,0,0,12,1,10,0,1
2020-06-28,Clay,14,1,14,1,0,0,14,1,656,14,670,15,0,0,0,11,0,2,0,0
2020-06-28,Cocke,50,2,41,1,8,0,48,1,1928,58,1976,59,0,0,1,31,0,18,0,2
2020-06-28,Coffee,104,1,103,1,1,0,128,2,3616,59,3743,60,0,0,1,84,0,20,0,5
2020-06-28,Crockett,29,1,27,1,2,0,34,1,742,7,776,8,0,3,0,18,1,8,0,2
2020-06-28,Cumberland,162,3,161,3,1,0,212,4,6542,91,6754,95,0,3,0,121,3,38,0,13
2020-06-28,Davidson,8846,171,8836,171,10,0,10435,201,73149,1093,83584,1294,0,110,68,5838,103,2898,1,484
2020-06-28,Decatur,18,0,16,0,2,0,22,1,760,8,782,9,0,0,0,14,0,4,0,1
2020-06-28,Dekalb,48,1,48,1,0,0,58,2,1768,33,1826,35,0,0,0,38,1,10,0,0
2020-06-28,Dickson,164,5,164,5,0,0,218,6,3350,31,3568,37,0,0,0,86,5,78,0,14
2020-06-28,Dyer,199,7,192,7,8,1,216,6,2563,48,2780,55,0,0,1,84,5,114,0,16
2020-06-28,Fayette,254,10,250,9,3,0,308,10,5120,92,5428,102,0,2,4,163,5,88,0,20
2020-06-28,Fentress,16,0,16,0,0,0,16,0,1262,10,1278,10,0,0,0,12,0,4,0,1
2020-06-28,Franklin,73,0,71,0,2,0,99,1,2716,48,2816,50,0,3,1,57,-1,13,0,8
2020-06-28,Gibson,94,4,85,3,8,0,106,2,3024,23,3130,25,0,1,0,63,4,30,0,5
2020-06-28,Giles,48,3,48,3,0,0,54,2,1688,42,1742,44,0,0,1,18,1,29,0,4
2020-06-28,Grainger,30,2,26,2,4,0,38,2,1273,28,1311,30,0,0,0,24,2,6,0,5
2020-06-28,Greene,78,4,74,3,4,1,82,2,3476,54,3558,56,0,2,0,54,3,21,0,9
2020-06-28,Grundy,59,0,58,0,1,0,64,0,836,15,900,15,0,1,1,45,-1,13,0,10
2020-06-28,Hamblen,192,11,183,11,10,1,202,11,5067,81,5270,93,0,4,1,120,11,69,0,18
2020-06-28,Hamilton,2377,56,2372,55,4,0,2486,79,24048,623,26534,702,1,30,55,1472,0,875,2,114
2020-06-28,Hancock,3,0,2,0,1,0,2,0,353,16,355,16,0,0,0,2,-1,0,0,1
2020-06-28,Hardeman,282,6,281,5,0,0,297,5,6001,32,6298,37,0,1,0,214,5,66,1,12
2020-06-28,Hardin,89,0,86,0,3,0,104,1,2630,43,2733,43,0,5,0,29,0,55,0,8
2020-06-28,Hawkins,47,2,47,2,0,0,60,1,2754,53,2814,54,0,2,0,35,2,10,0,7
2020-06-28,Haywood,64,2,62,2,2,0,72,3,1316,15,1388,18,0,2,0,31,3,32,0,10
2020-06-28,Henderson,31,0,29,0,2,0,36,0,1486,18,1523,19,0,0,0,18,0,13,0,4
2020-06-28,Henry,41,1,41,1,0,0,52,1,2324,21,2376,22,0,0,1,34,1,8,0,5
2020-06-28,Hickman,70,1,70,1,0,0,94,0,1485,22,1580,23,0,0,0,60,1,10,0,2
2020-06-28,Houston,11,1,11,1,0,0,15,1,668,7,683,8,0,0,0,6,0,4,0,4
2020-06-28,Humphreys,20,0,19,0,1,0,28,0,1200,15,1228,15,0,1,0,12,0,7,0,1
2020-06-28,Jackson,22,0,22,0,0,0,26,1,888,7,914,8,0,0,0,20,0,2,0,1
2020-06-28,Jefferson,95,4,84,4,11,0,90,5,3746,70,3836,75,0,0,0,52,3,42,1,4
2020-06-28,Johnson,34,0,34,1,1,0,34,0,2462,26,2496,26,0,0,0,24,0,10,0,1
2020-06-28,Knox,912,34,894,33,18,1,1005,40,31744,915,32750,956,0,5,5,558,30,350,2,60
2020-06-28,Lake,691,0,689,0,2,0,856,1,3690,7,4546,8,0,0,1,688,0,4,0,3
2020-06-28,Lauderdale,105,6,103,6,2,0,125,8,4140,46,4264,53,0,2,1,62,4,40,0,13
2020-06-28,Lawrence,114,1,114,1,0,0,132,2,2610,61,2742,63,0,4,4,52,-3,58,0,8
2020-06-28,Lewis,5,0,5,0,0,0,6,0,675,6,681,6,0,0,0,4,0,1,0,0
2020-06-28,Lincoln,52,0,52,0,0,0,64,2,1997,30,2061,32,0,0,1,34,0,19,0,3
2020-06-28,Loudon,251,3,234,2,16,0,259,2,3646,62,3904,63,0,1,2,208,1,42,0,8
2020-06-28,Macon,327,34,323,34,4,0,356,35,2222,105,2578,140,0,3,1,192,33,132,0,15
2020-06-28,Madison,230,2,222,2,8,0,278,3,6822,55,7101,59,0,2,0,173,3,56,0,22
2020-06-28,Marion,59,2,58,2,1,0,68,2,1574,22,1642,24,0,4,1,44,2,12,0,13
2020-06-28,Marshall,64,4,64,4,0,0,74,4,1640,43,1714,47,0,1,1,38,2,24,0,7
2020-06-28,Maury,279,3,279,3,0,0,326,6,4756,51,5082,57,0,3,7,144,-4,132,0,14
2020-06-28,McMinn,208,5,203,5,4,-1,247,6,3882,81,4129,87,0,17,2,150,2,40,1,24
2020-06-28,McNairy,54,2,53,2,1,0,62,2,1290,20,1352,22,0,0,1,26,1,28,0,4
2020-06-28,Meigs,32,0,32,0,0,0,44,0,869,18,913,18,0,0,0,26,0,6,0,4
2020-06-28,Monroe,118,0,107,0,11,0,128,0,1984,32,2113,33,0,4,0,90,0,24,0,12
2020-06-28,Montgomery,451,13,449,13,2,0,515,14,12216,230,12730,243,0,7,1,178,12,266,0,34
2020-06-28,Moore,6,0,6,0,0,0,7,0,485,5,492,5,0,0,0,5,0,1,0,0
2020-06-28,Morgan,23,0,23,0,0,0,26,0,3695,18,3721,18,0,1,1,20,-1,2,0,1
2020-06-28,Obion,90,3,87,3,3,0,106,3,2232,43,2338,46,0,2,0,56,3,32,0,11
2020-06-28,Out of State,838,72,835,72,2,-1,795,59,95762,1568,96556,1626,0,7,5,323,67,508,0,27
2020-06-28,Overton,53,2,53,2,0,0,55,2,2029,39,2084,41,0,0,0,40,2,13,0,3
2020-06-28,Pending,316,70,315,70,0,-1,346,74,63998,1202,64344,1276,0,0,1,24,69,292,1,4
2020-06-28,Perry,30,1,30,1,0,0,34,0,541,4,576,5,0,0,0,24,1,6,0,1
2020-06-28,Pickett,6,0,6,0,0,0,6,0,464,5,470,5,0,0,0,4,0,2,0,0
2020-06-28,Polk,40,2,38,2,2,0,40,1,934,17,974,18,0,0,1,30,1,10,0,1
2020-06-28,Putnam,754,19,751,19,3,0,881,21,8638,149,9520,171,0,7,2,584,18,164,0,16
2020-06-28,Rhea,264,2,264,2,0,0,287,3,2587,53,2874,56,0,0,1,238,1,26,0,4
2020-06-28,Roane,43,0,33,0,10,0,48,1,5323,77,5370,77,0,0,0,32,0,11,0,3
2020-06-28,Robertson,760,9,756,8,3,0,946,9,5752,78,6698,87,0,11,4,455,5,294,0,53
2020-06-28,Rutherford,2406,44,2399,44,7,0,2872,56,19447,347,22318,402,0,34,24,1094,20,1278,1,112
2020-06-28,Scott,14,0,13,0,1,0,13,0,1148,13,1160,12,0,0,0,13,0,1,0,0
2020-06-28,Sequatchie,24,0,24,0,0,0,32,0,1339,22,1371,22,0,0,0,19,0,5,0,2
2020-06-28,Sevier,568,19,528,17,41,3,573,21,8186,194,8759,215,0,3,7,346,12,219,0,21
2020-06-28,Shelby,9405,266,9389,266,16,0,11276,314,120158,2530,131434,2844,2,184,116,6226,148,2995,2,788
2020-06-28,Smith,73,6,66,5,6,0,80,6,1476,22,1556,28,0,1,2,44,4,28,0,3
2020-06-28,Stewart,20,1,20,1,0,0,20,1,738,9,757,9,0,0,0,8,0,11,0,2
2020-06-28,Sullivan,85,2,82,2,3,0,88,2,6398,73,6487,76,0,2,1,71,1,12,0,8
2020-06-28,Sumner,1344,26,1334,26,10,0,1700,31,12196,244,13896,275,0,51,8,561,18,732,0,216
2020-06-28,Tipton,599,6,590,5,8,0,654,5,7158,126,7812,131,0,4,3,470,3,125,1,30
2020-06-28,Trousdale,1479,3,1476,3,3,0,1518,2,2279,26,3797,28,0,5,26,1392,-23,82,0,15
2020-06-28,Unicoi,53,0,53,0,0,0,58,0,1230,16,1288,16,0,0,0,52,0,1,0,1
2020-06-28,Union,12,1,12,1,0,0,14,1,968,23,982,24,0,0,0,7,0,4,0,0
2020-06-28,Van Buren,6,0,6,0,0,0,6,0,468,2,474,2,0,0,0,3,1,4,0,1
2020-06-28,Warren,56,1,56,1,0,0,60,2,2715,37,2774,38,0,0,0,33,2,24,0,0
2020-06-28,Washington,124,3,120,4,5,0,146,4,6004,159,6149,162,0,0,1,99,3,26,0,7
2020-06-28,Wayne,74,0,74,0,0,0,76,1,2503,16,2578,16,0,0,0,68,0,6,0,2
2020-06-28,Weakley,52,3,52,4,1,0,54,3,2065,42,2120,46,0,1,1,33,2,18,0,2
2020-06-28,White,62,1,61,1,1,0,72,2,2346,37,2418,39,0,3,1,48,1,12,0,4
2020-06-28,Williamson,973,28,969,28,4,0,1130,35,16230,349,17360,384,0,14,4,485,24,474,0,52
2020-06-28,Wilson,744,19,742,19,2,0,888,21,10160,255,11048,276,0,16,2,398,15,328,1,50
